fecha;provincia;siglas;grupo_edad;hombres;mujeres;tasa_hombres_x1000;tasa_mujeres_x1000;enfermos
2025-09-24;Valladolid;VA;10-19;10551;10736;427.7548042;459.7464885;21287
2025-09-24;Ávila;AV;20-29;2968;3243;415.5698684;491.5125796;6211
2025-09-24;Burgos;BU;20-29;7351;7714;458.9785215;514.6440723;15065
2025-09-24;León;LE;20-29;7748;8609;420.150751;499.3040251;16357
2025-09-24;Segovia;SE;20-29;3387;3602;439.1287437;500.4863137;6989
2025-09-24;Soria;SO;20-29;1954;2091;443.7883261;508.8829399;4045
2025-09-24;Zamora;ZA;20-29;2866;3070;431.3666466;502.2905759;5936
2025-09-24;Ávila;AV;30-39;3275;4104;394.3407586;501.7728329;7379
2025-09-24;Salamanca;SA;30-39;6953;8683;383.3177132;466.7777658;15636
2025-09-24;Segovia;SE;30-39;3526;4107;396.5362123;467.0760832;7633
2025-09-24;Soria;SO;30-39;2120;2574;400.6046863;520.0;4694
2025-09-24;Zamora;ZA;30-39;3405;4172;397.4089636;530.7212823;7577
2025-09-24;Castilla y León;CyL;30-39;53614;65442;397.1554502;492.80841;119056
2025-09-24;León;LE;40-49;12021;15891;375.8441721;485.5772169;27912
2025-09-24;Castilla y León;CyL;40-49;69713;87125;388.2024067;491.0082788;156838
2025-09-24;Burgos;BU;50-59;9831;12222;352.1384053;457.5642994;22053
2025-09-24;Valladolid;VA;50-59;14533;18708;368.1384097;463.4478658;33241
2025-09-24;Zamora;ZA;60-69;4495;5325;387.7339774;496.7350746;9820
2025-09-24;Burgos;BU;70-79;6028;6673;370.611743;388.3715516;12701
2025-09-24;León;LE;70-79;8736;10753;418.230563;434.0262361;19489
2025-09-24;Salamanca;SA;70-79;6047;7466;403.4830186;425.5828536;13513
2025-09-24;Segovia;SE;70-79;2452;2703;432.2228098;431.4445331;5155
2025-09-24;Castilla y León;CyL;70-79;45279;53250;414.8708081;434.275555;98529
2025-09-24;Burgos;BU;>80;5276;8729;478.6790056;469.4020219;14005
2025-09-24;León;LE;>80;8411;13310;486.381773;449.950982;21721
2025-09-24;Segovia;SE;>80;2446;3819;509.6895186;477.1960515;6265
2025-09-24;Zamora;ZA;>80;4072;6010;520.3168924;484.7556057;10082
2025-09-24;Castilla y León;CyL;>80;42266;66661;517.6611797;491.6438033;108927
2025-09-24;León;LE;0-9;6267;5929;434.3035343;441.8032787;12196
2025-09-24;Soria;SO;0-9;1497;1409;443.6870184;435.4140915;2906
2025-09-24;Zamora;ZA;0-9;2220;2007;454.0805891;447.3918859;4227
2025-09-24;Castilla y León;CyL;0-9;37209;34724;429.645282;426.4380803;71933
2025-09-24;Ávila;AV;10-19;3092;2974;443.297491;457.3273874;6066
2025-09-24;Soria;SO;10-19;1870;1863;472.1030043;502.8340081;3733
2025-09-24;Palencia;PA;20-29;3292;3431;479.5338674;524.8584978;6723
2025-09-24;Salamanca;SA;20-29;7442;8519;456.5644172;491.972742;15961
2025-09-24;Valladolid;VA;20-29;10583;11845;440.6278624;503.9996596;22428
2025-09-24;Burgos;BU;30-39;8688;9958;416.7106336;497.9746962;18646
2025-09-24;León;LE;30-39;9244;12000;378.6817418;488.8979426;21244
2025-09-24;Ávila;AV;40-49;4273;5380;391.0496934;502.334267;9653
2025-09-24;Segovia;SE;40-49;4345;5373;381.9108728;466.4467402;9718
2025-09-24;Soria;SO;40-49;2654;3152;392.0815482;507.1600965;5806
2025-09-24;Valladolid;VA;40-49;17222;20934;383.7258528;477.8470177;38156
2025-09-24;León;LE;50-59;11615;15677;332.4270177;439.8832739;27292
2025-09-24;Castilla y León;CyL;50-59;64631;83699;351.9037792;459.3949307;148330
2025-09-24;Ávila;AV;60-69;3925;4540;388.9604598;502.4903154;8465
2025-09-24;Burgos;BU;60-69;7792;9089;334.2627944;418.9637688;16881
2025-09-24;León;LE;60-69;10808;13503;357.064984;449.2015968;24311
2025-09-24;Castilla y León;CyL;60-69;55524;67546;364.4215749;451.9547952;123070
2025-09-24;Ávila;AV;70-79;3217;3790;454.121965;498.4218832;7007
2025-09-24;Palencia;PA;70-79;3609;3890;485.0154549;493.968254;7499
2025-09-24;Valladolid;VA;70-79;9502;11599;396.5279806;422.9198571;21101
2025-09-24;Soria;SO;>80;2015;3084;552.0547945;542.4802111;5099
2025-09-24;Ávila;AV;0-9;2373;2158;408.0825451;404.1955422;4531
2025-09-24;Burgos;BU;0-9;5618;5156;394.1349797;383.3457249;10774
2025-09-24;Palencia;PA;0-9;2832;2616;505.3533191;500.8615738;5448
2025-09-24;Segovia;SE;0-9;2524;2405;425.4888739;428.0882876;4929
2025-09-24;Burgos;BU;10-19;7080;6866;437.6584039;448.6408782;13946
2025-09-24;Palencia;PA;10-19;3248;3178;517.0327921;536.9150194;6426
2025-09-24;Salamanca;SA;10-19;6357;6671;449.416755;485.8703569;13028
2025-09-24;Segovia;SE;10-19;3123;3021;430.4024256;438.4615385;6144
2025-09-24;Zamora;ZA;10-19;2928;2986;505.5248619;532.0741269;5914
2025-09-24;Castilla y León;CyL;10-19;45820;45893;447.8326736;471.7716236;91713
2025-09-24;Castilla y León;CyL;20-29;47591;52124;442.5340797;503.1177004;99715
2025-09-24;Palencia;PA;30-39;4089;4641;442.6761936;538.3990719;8730
2025-09-24;Valladolid;VA;30-39;12314;15203;393.3933934;486.5427081;27517
2025-09-24;Burgos;BU;40-49;11389;13374;399.6420801;494.5091514;24763
2025-09-24;Palencia;PA;40-49;5065;6115;446.2948277;554.6988389;11180
2025-09-24;Salamanca;SA;40-49;8358;10965;366.9007902;465.6841926;19323
2025-09-24;Zamora;ZA;40-49;4386;5941;398.2204467;547.709044;10327
2025-09-24;Ávila;AV;50-59;4082;5432;342.6508856;468.760787;9514
